Name,Scandinavian,Contemporary,Traditional,Hampton,Farmhouse,Industrial,Modern
7925.jpg,0,0,0,0,1,0,0
5701.jpg,0,0,0,0,1,0,0
730.jpg,0,0,0,0,0,0,0
3835.jpg,0,0,0,0,0,1,0
118.jpg,0,0,0,0,0,0,1
8896.jpg,0,0,0,0,1,0,0
1214.jpg,0,1,0,0,1,0,0
3226.jpg,0,0,0,0,0,1,0
4930.jpg,0,0,0,0,0,0,1
4986.jpg,1,0,0,0,0,0,1
2237.jpg,0,0,0,0,1,0,0
2726.jpg,0,0,0,0,0,0,1
4592.jpg,0,0,0,0,0,0,1
7789.jpg,0,0,1,0,0,0,0
3465.jpg,0,0,0,0,0,0,0
4647.jpg,0,1,0,0,0,0,0
590.jpg,0,0,0,0,1,0,0
6136.jpg,0,1,0,0,0,0,0
3371.jpg,0,1,0,0,0,0,0
5603.jpg,0,0,0,0,0,0,1
4130.jpg,0,0,0,0,0,1,0
1262.jpg,1,0,0,1,0,0,0
8293.jpg,0,0,1,0,1,0,0
3510.jpg,0,0,0,0,0,1,0
5364.jpg,0,1,0,0,0,0,0
6513.jpg,0,0,0,0,1,0,1
1034.jpg,0,0,0,0,1,0,1
3999.jpg,0,0,0,0,1,0,0
8466.jpg,0,0,1,0,0,0,0
308.jpg,0,1,0,0,0,0,0
4695.jpg,0,0,0,0,0,0,1
2768.jpg,0,0,0,0,0,0,0
4443.jpg,0,0,0,0,0,1,0
8092.jpg,0,0,0,0,0,0,0
8162.jpg,0,0,1,0,0,0,0
4374.jpg,0,0,0,0,0,0,0
4429.jpg,0,0,0,0,1,0,0
7497.jpg,0,0,0,0,0,0,1
4703.jpg,0,1,0,0,0,0,0
7928.jpg,0,0,0,0,0,0,1
8381.jpg,0,0,0,0,1,0,1
5631.jpg,0,1,0,0,0,0,0
2804.jpg,0,0,0,0,0,1,0
2212.jpg,0,0,0,0,0,1,1
5073.jpg,0,0,0,0,0,0,1
6226.jpg,0,0,0,0,0,0,1
7742.jpg,0,1,0,0,0,0,0
8674.jpg,0,0,0,0,1,0,0
3889.jpg,0,0,0,0,0,1,0
8627.jpg,0,1,0,0,0,0,0
3251.jpg,0,1,0,0,0,0,0
3892.jpg,0,0,0,0,0,0,1
1786.jpg,0,0,0,0,0,1,0
5954.jpg,0,1,0,0,0,0,0
6028.jpg,0,0,0,0,0,0,1
8640.jpg,0,0,0,0,1,0,0
3467.jpg,0,1,0,0,0,0,0
3295.jpg,0,0,0,0,0,0,1
111.jpg,0,0,1,0,0,0,0
5607.jpg,0,0,0,0,0,0,1
720.jpg,0,0,0,0,1,0,0
5031.jpg,0,0,0,0,0,0,1
7773.jpg,0,0,1,0,0,0,0
6206.jpg,1,0,0,0,0,0,1
2894.jpg,0,0,0,0,0,1,0
8075.jpg,0,0,0,0,0,0,0
8135.jpg,0,0,0,0,0,0,1
1530.jpg,0,0,0,0,1,0,0
1807.jpg,0,0,0,0,1,0,0
8428.jpg,0,0,0,0,1,0,0
5747.jpg,0,0,0,0,0,0,1
7505.jpg,0,1,0,0,0,0,0
2782.jpg,0,1,0,0,0,0,0
6153.jpg,0,0,0,0,1,0,1
6564.jpg,1,0,0,0,0,0,1
8870.jpg,0,0,1,0,0,0,0
7815.jpg,0,0,1,0,0,0,0
6690.jpg,0,0,0,0,0,0,0
5521.jpg,0,1,0,0,0,0,1
784.jpg,0,0,0,1,1,0,0
1591.jpg,0,1,0,0,0,0,0
1330.jpg,0,1,0,1,0,0,0
4817.jpg,0,1,0,0,0,0,0
4495.jpg,0,0,0,0,0,0,0
1212.jpg,0,0,0,0,0,0,0
7724.jpg,0,0,0,0,1,0,0
5669.jpg,0,0,0,0,0,0,1
2276.jpg,0,1,0,0,0,0,0
7230.jpg,0,0,0,0,1,0,1
5268.jpg,0,1,0,0,0,0,0
4895.jpg,0,1,0,0,1,0,1
869.jpg,0,0,0,0,1,0,0
8186.jpg,0,0,1,0,0,0,0
6773.jpg,1,0,0,0,0,0,1
4267.jpg,0,0,0,0,0,0,0
5784.jpg,0,1,0,0,0,0,0
3841.jpg,0,0,0,0,0,1,0
8611.jpg,0,0,0,0,1,0,0
4791.jpg,0,0,0,0,0,0,1
1326.jpg,0,0,0,0,1,0,0
6283.jpg,1,0,0,0,0,0,0
6754.jpg,0,0,0,0,1,0,0
6040.jpg,0,0,0,0,0,0,0
544.jpg,0,0,0,0,1,0,0
5106.jpg,0,1,0,0,0,0,0
4181.jpg,0,0,0,0,0,0,1
6637.jpg,0,0,0,0,0,0,0
6018.jpg,1,0,0,0,0,0,1
4955.jpg,0,0,0,0,0,0,0
6663.jpg,0,1,0,0,1,0,0
3984.jpg,1,0,0,0,0,1,0
7507.jpg,0,0,0,0,0,0,0
5393.jpg,0,0,0,0,0,0,0
6595.jpg,0,1,0,0,0,0,0
1695.jpg,0,0,0,0,1,0,0
2.jpg,0,0,0,0,0,0,1
329.jpg,0,1,0,0,0,0,0
7769.jpg,0,0,0,0,0,0,0
2299.jpg,0,0,0,1,0,0,1
2267.jpg,0,0,0,0,0,0,1
2347.jpg,0,0,0,0,0,0,1
3978.jpg,1,0,0,0,0,0,1
3155.jpg,0,0,0,0,0,0,0
3656.jpg,0,1,0,0,0,1,0
5702.jpg,0,0,0,0,0,0,1
874.jpg,0,0,0,0,1,0,0
1086.jpg,0,0,1,0,0,0,0
8795.jpg,0,0,0,0,1,0,0
7751.jpg,0,0,0,0,1,0,0
772.jpg,0,0,0,0,1,0,0
7368.jpg,0,0,0,0,0,1,0
4412.jpg,0,0,0,0,0,0,1
4399.jpg,0,1,0,0,0,0,1
5955.jpg,0,0,0,0,0,0,1
8023.jpg,0,0,0,0,0,0,0
8497.jpg,0,0,0,0,1,0,0
2467.jpg,0,0,0,0,0,1,0
1717.jpg,0,0,0,0,1,0,0
6485.jpg,0,0,0,0,0,0,1
5183.jpg,0,0,0,0,0,0,1
4071.jpg,0,0,0,0,0,1,1
6308.jpg,0,0,0,0,0,0,1
8839.jpg,0,0,0,0,1,0,0
7806.jpg,0,0,0,0,0,0,1
2678.jpg,0,0,0,0,1,0,0
6134.jpg,0,1,0,0,0,0,0
8096.jpg,0,0,1,0,0,0,0
1136.jpg,1,0,0,0,0,0,0
5047.jpg,0,0,0,0,1,0,0
7601.jpg,0,1,0,0,0,0,0
5595.jpg,0,0,1,0,0,0,1
8687.jpg,0,0,0,1,0,0,0
911.jpg,1,0,0,0,0,0,0
1567.jpg,0,0,0,0,1,0,0
197.jpg,0,1,0,0,0,0,0
3249.jpg,0,0,0,0,0,1,0
4036.jpg,0,1,0,0,0,0,0
2102.jpg,0,1,0,0,0,0,0
4999.jpg,0,0,1,0,0,0,1
4667.jpg,0,0,0,0,0,0,1
79.jpg,0,0,0,0,0,0,0
8712.jpg,0,1,0,0,0,0,0
5887.jpg,0,0,0,0,0,0,1
1202.jpg,0,0,0,0,0,0,0
1765.jpg,0,0,0,0,1,0,0
412.jpg,0,1,0,0,1,0,0
7575.jpg,0,0,1,0,0,0,0
45.jpg,0,0,0,0,0,0,0
2698.jpg,0,1,0,0,0,1,0
7050.jpg,1,0,0,0,0,0,0
2857.jpg,0,0,0,0,0,0,0
51.jpg,0,1,0,0,0,0,0
943.jpg,0,0,0,0,1,0,0
4964.jpg,0,0,0,0,0,0,1
1172.jpg,0,0,0,0,1,0,0
492.jpg,0,1,0,0,0,0,0
6917.jpg,1,0,0,0,0,0,0
610.jpg,0,0,0,0,1,0,0
8503.jpg,0,0,0,1,1,0,0
3136.jpg,0,0,0,0,0,0,0
4725.jpg,0,0,0,0,0,0,1
583.jpg,0,0,0,0,1,1,0
7322.jpg,0,1,0,0,0,0,0
334.jpg,0,1,0,0,0,0,0
5677.jpg,0,0,0,0,0,0,1
2689.jpg,0,0,0,0,0,0,1
8252.jpg,0,0,1,0,0,0,0
8901.jpg,0,0,0,1,0,0,0
4183.jpg,1,0,0,0,0,1,0
7955.jpg,0,0,1,0,0,0,0
2973.jpg,0,0,0,0,0,1,0
8410.jpg,0,0,0,0,0,0,0
2979.jpg,0,0,0,0,0,0,1
1977.jpg,0,0,0,0,0,1,0
7597.jpg,0,0,1,0,0,0,0
5844.jpg,0,0,0,0,0,0,0
6286.jpg,0,0,0,0,0,0,1
5929.jpg,0,0,0,0,0,0,1
7173.jpg,0,0,0,0,0,0,0
248.jpg,1,0,0,0,0,0,1
3009.jpg,0,1,0,0,0,0,0
6435.jpg,0,0,0,0,1,0,0
7642.jpg,0,0,0,1,1,0,0
7233.jpg,1,0,0,0,0,0,1
7977.jpg,0,0,0,0,0,0,1
7152.jpg,0,0,0,0,0,0,1
317.jpg,0,0,0,0,0,0,1
3298.jpg,0,0,0,0,0,0,1
4933.jpg,0,1,0,0,0,0,0
8027.jpg,0,0,0,0,1,0,0
4458.jpg,0,0,0,0,1,0,0
5080.jpg,0,0,0,0,1,0,0
8851.jpg,0,0,1,0,0,0,0
