New_Name,Old_Name,Status_first_tag,Status_second_tag,Validity
1.jpg,contemprory_image_5132.jpg,,negative,-
2.jpg,contemprory_image_4979.jpg,,,-
3.jpg,contemprory_image_3529.jpg,,,-
4.jpg,contemprory_image_2830.jpg,,,-
5.jpg,contemprory_image_9614.jpg,,,-
6.jpg,contemprory_image_8975.jpg,,negative,-
7.jpg,contemprory_image_2679.jpg,,negative,-
8.jpg,contemprory_image_1750.jpg,,negative,-
9.jpg,contemprory_image_252.jpg,,,-
10.jpg,contemprory_image_1992.jpg,,,-
11.jpg,contemprory_image_8073.jpg,,,-
12.jpg,contemprory_image_6592.jpg,,negative,-
13.jpg,contemprory_image_7901.jpg,,,-
14.jpg,contemprory_image_1444.jpg,,negative,-
15.jpg,contemprory_image_1993.jpg,negative,,-
16.jpg,contemprory_image_4747.jpg,,,-
17.jpg,contemprory_image_440.jpg,positive,,-
18.jpg,contemprory_image_8229.jpg,negative,negative,valid
19.jpg,contemprory_image_5572.jpg,,,-
20.jpg,contemprory_image_9334.jpg,,,-
21.jpg,contemprory_image_5543.jpg,negative,,-
22.jpg,contemprory_image_5976.jpg,,,-
23.jpg,contemprory_image_287.jpg,,negative,-
24.jpg,contemprory_image_7888.jpg,,negative,-
25.jpg,contemprory_image_8571.jpg,,,-
26.jpg,contemprory_image_5411.jpg,,,-
27.jpg,contemprory_image_8493.jpg,,positive,-
28.jpg,contemprory_image_9890.jpg,,positive,-
29.jpg,contemprory_image_9077.jpg,,,-
30.jpg,contemprory_image_567.jpg,,negative,-
31.jpg,contemprory_image_1203.jpg,negative,,-
32.jpg,contemprory_image_5482.jpg,,,-
33.jpg,contemprory_image_7312.jpg,,,-
34.jpg,contemprory_image_764.jpg,,,-
35.jpg,contemprory_image_8882.jpg,,negative,-
36.jpg,contemprory_image_5905.jpg,,,-
37.jpg,contemprory_image_7757.jpg,,,-
38.jpg,contemprory_image_8956.jpg,,,-
39.jpg,contemprory_image_4066.jpg,,,-
40.jpg,contemprory_image_707.jpg,negative,,-
41.jpg,contemprory_image_2596.jpg,,negative,-
42.jpg,contemprory_image_7973.jpg,,,-
43.jpg,contemprory_image_3678.jpg,positive,,-
44.jpg,contemprory_image_7531.jpg,,,-
45.jpg,contemprory_image_1420.jpg,,negative,-
